1	 13	 63	 16183	
80	 7	 39	 6720	
3	 19	 81	 16523	
2	 4	 37	 5125	
77	 17	 85	 6376	
88	 18	 38	 15761	
87	 4	 71	 11009	
75	 10	 8	 4016	
77	 7	 51	 3430	
89	 12	 63	 14867	
79	 4	 77	 4596	
90	 3	 37	 1377	
84	 3	 36	 14265	
78	 3	 83	 17011	
2	 4	 74	 16453	
74	 18	 51	 17330	
81	 3	 3	 7001	
74	 5	 62	 2357	
89	 8	 35	 16954	
77	 17	 77	 9723	
5	 5	 74	 12227	
4	 17	 83	 16262	
5	 7	 50	 3608	
75	 19	 4	 7444	
91	 4	 78	 851	
79	 3	 68	 10601	
74	 3	 1	 9752	
87	 4	 39	 3933	
90	 4	 68	 14710	
77	 4	 1	 2168	
1	 12	 64	 5485	
82	 3	 70	 3530	
75	 5	 61	 122	
1	 3	 71	 9784	
88	 4	 0	 9267	
86	 3	 81	 8265	
77	 15	 23	 2494	
89	 19	 51	 6919	
78	 16	 73	 1345	
77	 17	 86	 14011	
83	 3	 79	 11829	
89	 17	 4	 1097	
84	 19	 3	 1574	
74	 17	 17	 1967	
74	 4	 4	 2074	
76	 4	 31	 15153	
87	 18	 47	 12449	
84	 4	 76	 14166	
1	 12	 64	 8542	
76	 17	 81	 1757	
83	 7	 40	 3527	
81	 16	 68	 387	
83	 19	 3	 8272	
5	 9	 19	 10476	
79	 3	 41	 12014	
89	 16	 67	 9640	
81	 14	 58	 16099	
79	 16	 73	 8873	
3	 4	 31	 17055	
78	 2	 29	 2474	
89	 19	 75	 17486	
86	 1	 10	 553	
5	 19	 90	 17406	
0	 19	 89	 12451	
79	 17	 5	 9518	
0	 4	 32	 9620	
0	 15	 20	 16839	
77	 3	 78	 9998	
2	 5	 65	 18101	
74	 17	 74	 4709	
78	 4	 67	 14286	
82	 4	 52	 6623	
86	 4	 80	 1200	
80	 19	 75	 4882	
76	 4	 87	 16414	
78	 3	 3	 15978	
75	 4	 49	 6937	
3	 5	 3	 4529	
76	 17	 1	 5206	
5	 4	 48	 17612	
4	 6	 35	 6285	
75	 3	 41	 5468	
84	 12	 64	 18037	
82	 9	 20	 16093	
4	 17	 80	 752	
1	 19	 77	 7987	
81	 17	 1	 2440	
86	 9	 12	 13776	
77	 10	 10	 17744	
1	 5	 81	 10176	
80	 4	 85	 1587	
77	 4	 89	 3525	
77	 19	 75	 6608	
88	 19	 76	 2293	
90	 18	 42	 911	
78	 5	 88	 13320	
86	 16	 67	 9494	
